OID_,LAYER,LAT,LON
11220,Crested Tern adult free standing,-16.6065061459,145.973472553
11221,Crested Tern adult free standing,-16.6065014539,145.97347446
11222,Crested Tern adult free standing,-16.6065028615,145.973479151
11223,Crested Tern adult free standing,-16.6065000462,145.973471054
11224,Crested Tern adult free standing,-16.6064958796,145.973472261
11225,Crested Tern adult free standing,-16.6064935148,145.973459064
11226,Crested Tern adult free standing,-16.6064941154,145.973452854
11227,Crested Tern adult free standing,-16.6064928955,145.973447248
11228,Crested Tern adult free standing,-16.6064878843,145.973468757
11229,Crested Tern adult free standing,-16.6064843934,145.973479287
11230,Crested Tern adult free standing,-16.6064935899,145.973477341
11231,Crested Tern adult free standing,-16.6064994081,145.973480475
11232,Crested Tern adult free standing,-16.6064758913,145.973447151
11233,Crested Tern adult free standing,-16.606475591,145.973454334
11234,Crested Tern adult free standing,-16.6064754034,145.97346029
11235,Crested Tern runner,-16.6064953917,145.973449136
11236,Crested Tern runner,-16.60647454,145.973449156
11237,Crested Tern runner,-16.6064780685,145.973443589
11238,Crested Tern runner,-16.6064832861,145.973444893
11239,Crested Tern runner,-16.6064764356,145.973463248
11240,Crested Tern runner,-16.6064791383,145.973477224
11241,Crested Tern runner,-16.6064756849,145.973479112
11242,Crested Tern runner,-16.6064650057,145.973449039
11243,Crested Tern runner,-16.6064556966,145.973457779
11244,Crested Tern runner,-16.6064501224,145.973457896
11245,Crested Tern runner,-16.6064536133,145.973472514
11246,Crested Tern runner,-16.6064537822,145.973476932
11247,Crested Tern runner,-16.6064488468,145.973490277
11248,Crested Tern runner,-16.6064558499,145.973489334
11249,Crested Tern runner,-16.6064545766,145.973496911
11250,Crested Tern runner,-16.6064706489,145.973502289
11251,Crested Tern runner,-16.6064687168,145.973503551
11252,Crested Tern runner,-16.6064714122,145.973481904
11253,Crested Tern runner,-16.6064830527,145.973491676
11254,Crested Tern runner,-16.6064849371,145.973489499
11255,Crested Tern runner,-16.6064869885,145.97348465
11256,Crested Tern runner,-16.6064906381,145.973494422
11257,Crested Tern runner,-16.6064725333,145.973498504
11258,Crested Tern runner,-16.6064650672,145.973514757
11259,Crested Tern runner,-16.6064638029,145.973524628
11260,Crested Tern runner,-16.6064611075,145.973522303
11261,Crested Tern runner,-16.6064666892,145.973525568
11262,Crested Tern runner,-16.6064803334,145.973525717
11263,Crested Tern runner,-16.6064715076,145.973534524
11264,Crested Tern runner,-16.6064564322,145.973512457
11265,Crested Tern runner,-16.6064466046,145.973502883
11266,Crested Tern runner,-16.6064521386,145.973507558
11267,Crested Tern runner,-16.6064427165,145.973515499
11268,Crested Tern runner,-16.6064525202,145.973524653
11269,Crested Tern runner,-16.6064577442,145.973525519
11270,Crested Tern runner,-16.6064572432,145.973537814
11271,Crested Tern runner,-16.6064435275,145.973526978
11272,Crested Tern adult free standing,-16.6064703627,145.97344821
11273,Crested Tern adult free standing,-16.6064664984,145.973461421
11274,Crested Tern adult free standing,-16.6064697186,145.973468496
11275,Crested Tern adult free standing,-16.6064674764,145.973476586
11276,Crested Tern adult free standing,-16.6064626341,145.973466888
11277,Crested Tern adult free standing,-16.6064583405,145.973456918
11278,Crested Tern adult free standing,-16.6064471294,145.97345395
11279,Crested Tern adult free standing,-16.6064517569,145.97347186
11280,Crested Tern adult free standing,-16.6064502303,145.973480445
11281,Crested Tern adult free standing,-16.6064586983,145.973480395
11282,Crested Tern adult free standing,-16.606462825,145.97348277
11283,Crested Tern adult free standing,-16.6064590084,145.973485689
11284,Crested Tern adult free standing,-16.6064677388,145.973488584
11285,Crested Tern adult free standing,-16.6064437183,145.973478367
11286,Crested Tern other,-16.6063874479,145.973504936
11287,Crested Tern adult free standing,-16.6064481074,145.973495808
11288,Crested Tern adult free standing,-16.606453212,145.973489722
11289,Crested Tern adult free standing,-16.60645159,145.973493754
11290,Crested Tern adult free standing,-16.6064507551,145.973498108
11291,Crested Tern adult free standing,-16.6064483459,145.973503872
11292,Crested Tern adult free standing,-16.6064519001,145.973505629
11293,Crested Tern adult free standing,-16.6064526872,145.973501522
11294,Crested Tern adult free standing,-16.6064558836,145.97349937
11295,Crested Tern adult free standing,-16.6064587699,145.973492567
11296,Crested Tern adult free standing,-16.6064631112,145.97348992
11297,Crested Tern adult free standing,-16.6064597479,145.973498949
11298,Crested Tern adult free standing,-16.606458102,145.97350934
11299,Crested Tern adult free standing,-16.6064491331,145.973515425
11300,Crested Tern adult free standing,-16.6064472725,145.973519458
11301,Crested Tern adult free standing,-16.6064420963,145.973519952
11302,Crested Tern adult free standing,-16.606445078,145.973522006
11303,Crested Tern adult free standing,-16.6064526872,145.973520002
11304,Crested Tern adult free standing,-16.6064553827,145.97351879
11305,Crested Tern adult free standing,-16.606457124,145.973523168
11306,Crested Tern adult free standing,-16.6064600818,145.973521882
11307,Crested Tern adult free standing,-16.6064596047,145.973516934
11308,Crested Tern adult free standing,-16.6064637552,145.973517627
11309,Crested Tern adult free standing,-16.6064735352,145.973491503
11310,Crested Tern adult free standing,-16.6064759444,145.973488114
11311,Crested Tern adult free standing,-16.6064723425,145.973502314
11312,Crested Tern adult free standing,-16.6064753719,145.973506519
11313,Crested Tern adult free standing,-16.6064703388,145.97352161
11314,Crested Tern adult free standing,-16.6064819077,145.973496945
11315,Crested Tern adult free standing,-16.6064853665,145.973511071
11316,Crested Tern adult free standing,-16.6064857004,145.973514139
11317,Crested Tern adult free standing,-16.6064831958,145.973514658
11318,Crested Tern adult free standing,-16.606493906,145.973482746
11319,Crested Tern adult free standing,-16.6064984859,145.973487471
11320,Crested Tern adult free standing,-16.6064920693,145.973493507
11321,Crested Tern adult free standing,-16.6064973886,145.973517775
11322,Crested Tern adult free standing,-16.6065033043,145.973517528
11323,Crested Tern adult free standing,-16.6065046401,145.973512753
11324,Crested Tern adult free standing,-16.6065113191,145.973502784
11325,Crested Tern adult free standing,-16.6065133466,145.973504639
11326,Crested Tern adult free standing,-16.6065051649,145.973498083
11327,Crested Tern adult free standing,-16.6065070732,145.973484923
11328,Crested Tern runner,-16.6064958382,145.973490439
11329,Crested Tern runner,-16.6064950987,145.973510651
11330,Crested Tern runner,-16.6065047832,145.973517132
11331,Crested Tern runner,-16.6065044493,145.973484057
11332,Crested Tern runner,-16.6065149687,145.973497861
11333,Noddy species,-16.606497985,145.973498306
11334,Crested Tern runner,-16.6065329303,145.973516934
11335,Crested Tern runner,-16.606537057,145.973509117
11336,Crested Tern runner,-16.6065393708,145.973516489
11337,Crested Tern runner,-16.6065435451,145.973486951
11338,Crested Tern runner,-16.6065553288,145.973501275
11339,Crested Tern runner,-16.606562294,145.973512605
11340,Crested Tern runner,-16.6065548278,145.97352542
11341,Crested Tern runner,-16.6065719069,145.973492616
11342,Crested Tern runner,-16.6065806373,145.973492319
11343,Crested Tern adult free standing,-16.6065203834,145.973511987
11344,Crested Tern adult free standing,-16.6065236275,145.973515722
11345,Crested Tern adult free standing,-16.6065322624,145.97352631
11346,Crested Tern adult free standing,-16.6065245339,145.97348371
11347,Crested Tern adult free standing,-16.606527611,145.973491107
11348,Crested Tern adult free standing,-16.606530378,145.973503724
11349,Crested Tern adult free standing,-16.6065439745,145.973500854
11350,Crested Tern adult free standing,-16.6065459543,145.973490983
11351,Crested Tern adult free standing,-16.6065495562,145.973498281
11352,Crested Tern adult free standing,-16.6065542792,145.973500632
11353,Crested Tern adult free standing,-16.6065597894,145.973510082
11354,Crested Tern adult free standing,-16.6065662537,145.973491825
11355,Crested Tern adult free standing,-16.6065730042,145.973485442
11356,Crested Tern adult free standing,-16.6065752703,145.973499098
11357,Crested Tern adult free standing,-16.606574984,145.973515821
11358,Noddy species,-16.6066118377,145.973504986
11359,Noddy species,-16.6066127441,145.973506371
11360,Noddy species,-16.6066250048,145.973511888
11361,Noddy species,-16.6066246947,145.973512927
11362,Noddy species,-16.6066326141,145.973503328
11363,Noddy species,-16.6066342361,145.973504689
11364,Noddy species,-16.6066334966,145.973499122
11365,Noddy species,-16.6066372178,145.973499221
11366,Noddy species,-16.6066373609,145.973510379
11367,Noddy species,-16.6066348324,145.973518122
11368,Noddy species,-16.6066405811,145.973496673
11369,Noddy species,-16.6066411775,145.973499914
11370,Noddy species,-16.6066387205,145.973499815
11371,Noddy species,-16.6066409151,145.973501473
11372,Noddy species,-16.6066421554,145.973509117
11373,Noddy species,-16.6066428472,145.973515673
11374,Noddy species,-16.606641249,145.973522773
11375,Noddy species,-16.6066460197,145.973518097
11376,Noddy species,-16.6066474986,145.973518542
11377,Noddy species,-16.6066490014,145.973515772
11378,Noddy species,-16.6066519354,145.973517033
11379,Noddy species,-16.6066527225,145.973519482
11380,Noddy species,-16.6066543207,145.973515648
11381,Noddy species,-16.6066561097,145.973518122
11382,Noddy species,-16.6066533666,145.973513075
11383,Noddy species,-16.6066555373,145.973510354
11384,Noddy species,-16.6066523409,145.973509983
11385,Noddy species,-16.6066483812,145.973510601
11386,Noddy species,-16.6066451371,145.973508474
11387,Noddy species,-16.6066440399,145.973505109
11388,Noddy species,-16.6066501941,145.973507014
11389,Noddy species,-16.6066496216,145.973505777
11390,Noddy species,-16.6066540106,145.973506124
11391,Noddy species,-16.6066552749,145.973502611
11392,Noddy species,-16.6066555134,145.97349791
11393,Noddy species,-16.6066499555,145.973500533
11394,Noddy species,-16.6066494069,145.973501398
11395,Noddy species,-16.606645972,145.973500335
11396,Noddy species,-16.6066448747,145.973500359
11397,Noddy species,-16.6066432766,145.973497539
11398,Noddy species,-16.6066457812,145.973494768
11399,Noddy species,-16.6066433243,145.97349086
11400,Noddy species,-16.6066450179,145.973486283
11401,Noddy species,-16.6066459959,145.973481904
11402,Noddy species,-16.6066505757,145.973484527
11403,Noddy species,-16.6066460674,145.973491157
11404,Noddy species,-16.6066517923,145.973486827
11405,Noddy species,-16.606655084,145.973488435
11406,Noddy species,-16.6066494308,145.973492468
11407,Noddy species,-16.6066543446,145.973492245
11408,Noddy species,-16.6066526271,145.9734942
11409,Noddy species,-16.6066503133,145.973495931
11410,Noddy species,-16.6066470693,145.973497985
11411,Noddy species,-16.6066577318,145.973484923
11412,Noddy species,-16.6066629318,145.973484502
11413,Noddy species,-16.6066659135,145.973481608
11414,Noddy species,-16.6066670346,145.973480717
11415,Noddy species,-16.6066718292,145.973483166
11416,Noddy species,-16.6066693723,145.973487866
11417,Noddy species,-16.6066663429,145.9734871
11418,Noddy species,-16.606659807,145.97349128
11419,Noddy species,-16.6066587813,145.973498182
11420,Noddy species,-16.6066628364,145.973495956
11421,Noddy species,-16.6066671062,145.973490959
11422,Noddy species,-16.6066680603,145.973495906
11423,Noddy species,-16.6066687521,145.973494892
11424,Noddy species,-16.6066707796,145.973492097
11425,Noddy species,-16.6066712805,145.973487767
11426,Noddy species,-16.6066673686,145.973500582
11427,Noddy species,-16.6066637906,145.973502413
11428,Noddy species,-16.6066607612,145.973502611
11429,Noddy species,-16.6066583281,145.973501868
11430,Noddy species,-16.6066591153,145.973508523
11431,Noddy species,-16.6066584712,145.973511764
11432,Noddy species,-16.606660141,145.973519532
11433,Noddy species,-16.606660618,145.97351879
11434,Noddy species,-16.6066615483,145.973519161
11435,Noddy species,-16.6066641961,145.973520744
11436,Noddy species,-16.6066662236,145.973517058
11437,Noddy species,-16.6066695154,145.973517479
11438,Noddy species,-16.6066693961,145.973516588
11439,Noddy species,-16.6066688475,145.973515029
11440,Noddy species,-16.6066695392,145.973513966
11441,Noddy species,-16.6066715906,145.973513075
11442,Noddy species,-16.6066711374,145.973510131
11443,Noddy species,-16.606666319,145.973510799
11444,Noddy species,-16.6066622162,145.973506099
11445,Noddy species,-16.6066663429,145.973504516
11446,Noddy species,-16.6066719962,145.973498059
11447,Noddy species,-16.6066771962,145.973493804
11448,Noddy species,-16.6066790329,145.97349462
11449,Noddy species,-16.606682444,145.973494793
11450,Noddy species,-16.6066815853,145.973498281
11451,Noddy species,-16.6066869761,145.973497836
11452,Noddy species,-16.6066825632,145.973501596
11453,Noddy species,-16.6066828256,145.973504367
11454,Noddy species,-16.6066793669,145.973503724
11455,Noddy species,-16.6066744769,145.973501868
11456,Noddy species,-16.6066727356,145.973506148
11457,Noddy species,-16.6066734035,145.973508301
11458,Noddy species,-16.6066773393,145.973511022
11459,Noddy species,-16.6066777687,145.973507707
11460,Noddy species,-16.6066815137,145.973507633
11461,Noddy species,-16.6066830403,145.973508597
11462,Noddy species,-16.6066808458,145.97351169
11463,Noddy species,-16.6066801063,145.973514164
11464,Noddy species,-16.6066865706,145.973510205
11465,Noddy species,-16.6066874532,145.973508399
11466,Noddy species,-16.6066837559,145.973515796
11467,Noddy species,-16.6066744054,145.973517528
11468,Noddy species,-16.60667462,145.973515648
11469,Noddy species,-16.6066727118,145.973520175
11470,Noddy species,-16.6066715191,145.973521981
11471,Noddy species,-16.606675598,145.973521758
11472,Noddy species,-16.6066771962,145.973521783
11473,Noddy species,-16.6066780311,145.973517058
11474,Noddy species,-16.6066807742,145.973518765
11475,Noddy species,-16.6066845908,145.973521338
11476,Noddy species,-16.6066889321,145.973502363
11477,Noddy species,-16.6066911028,145.973510972
11478,Noddy species,-16.6066926771,145.973511294
11479,Noddy species,-16.606690578,145.973515673
11480,Noddy species,-16.6066920331,145.973518839
11481,Noddy species,-16.6066884789,145.973522748
11482,Noddy species,-16.6066937744,145.973523812
11483,Noddy species,-16.6066995946,145.973517108
11484,Noddy species,-16.6066941083,145.973515871
11485,Noddy species,-16.6066992368,145.973507509
11486,Brown Booby,-16.6066957065,145.973500384
11487,Brown Booby,-16.6066963744,145.973501893
11488,Noddy species,-16.6068253264,145.973488806
11489,Noddy species,-16.6068286897,145.973486605
11490,Noddy species,-16.6068312659,145.973485318
11491,Noddy species,-16.6068322916,145.973483859
11492,Noddy species,-16.606828308,145.973490489
11493,Noddy species,-16.6068315283,145.973492369
11494,Noddy species,-16.6068342953,145.973488881
11495,Noddy species,-16.6068355595,145.973485912
11496,Noddy species,-16.6068382549,145.973487965
11497,Noddy species,-16.6068368953,145.973489722
11498,Noddy species,-16.6068343191,145.973494397
11499,Noddy species,-16.6068388274,145.973491627
11500,Noddy species,-16.6068393283,145.973488831
11501,Noddy species,-16.6068370623,145.973506222
11502,Noddy species,-16.6068323154,145.973507435
11503,Noddy species,-16.6068342714,145.973508498
11504,Noddy species,-16.6068338898,145.973511319
11505,Noddy species,-16.6068313374,145.97351023
11506,Noddy species,-16.6068331264,145.973513669
11507,Noddy species,-16.6068326971,145.973519383
11508,Noddy species,-16.6068282603,145.973523193
11509,Noddy species,-16.6068332457,145.973523812
11510,Noddy species,-16.6068367999,145.973524999
11511,Noddy species,-16.6068391614,145.973521709
11512,Noddy species,-16.6068398531,145.973521659
11513,Noddy species,-16.6068391614,145.973518245
11514,Noddy species,-16.6068401632,145.973517553
11515,Noddy species,-16.6068362512,145.973515178
11516,Noddy species,-16.6068389228,145.973513793
11517,Noddy species,-16.6068399008,145.973512828
11518,Noddy species,-16.6068382549,145.973510379
11519,Noddy species,-16.6068498,145.973510972
11520,Noddy species,-16.6068458165,145.973514634
11521,Noddy species,-16.6068431926,145.973512358
11522,Noddy species,-16.6068416898,145.973514609
11523,Noddy species,-16.6068449339,145.973516563
11524,Noddy species,-16.6068438844,145.973518023
11525,Noddy species,-16.606843622,145.973519309
11526,Noddy species,-16.606842644,145.973520843
11527,Noddy species,-16.6068422385,145.973522946
11528,Noddy species,-16.6068455303,145.973523292
11529,Noddy species,-16.6068479633,145.973522154
11530,Noddy species,-16.6068469376,145.97352015
11531,Noddy species,-16.606848011,145.973519111
11532,Noddy species,-16.6068536404,145.973514584
11533,Noddy species,-16.6068570992,145.973505381
11534,Noddy species,-16.606858268,145.973505431
11535,Noddy species,-16.6068587212,145.973501176
11536,Onychoprion,-16.6068490129,145.973500706
11537,Onychoprion,-16.6068510166,145.973521363
11538,Onychoprion,-16.6068531872,145.973493012
11539,Onychoprion,-16.6068790683,145.973482424
11540,Noddy species,-16.6068654479,145.973493977
11541,Noddy species,-16.6068673562,145.973487743
11542,Noddy species,-16.6068701948,145.973488312
11543,Noddy species,-16.606876182,145.973488757
11544,Noddy species,-16.6068985088,145.973499296
11545,Crested Tern other,-16.6068648516,145.97351451
11546,Crested Tern other,-16.6068777086,145.973509983
11547,Crested Tern adult free standing,-16.6068558588,145.973494694
11548,Crested Tern adult free standing,-16.6069088374,145.973493606
11549,Crested Tern adult free standing,-16.6069121769,145.973497267
11550,Crested Tern adult free standing,-16.606931689,145.973512086
11551,Crested Tern adult free standing,-16.6069343845,145.973500656
11552,Crested Tern adult free standing,-16.606938535,145.973513125
11553,Crested Tern adult free standing,-16.6069414213,145.973508053
11554,Crested Tern adult free standing,-16.6069435442,145.973515796
11555,Crested Tern adult free standing,-16.606952704,145.973514535
11556,Crested Tern adult free standing,-16.6069571884,145.973503922
11557,Crested Tern adult free standing,-16.6069586912,145.97349749
11558,Crested Tern adult free standing,-16.6069615536,145.973490118
11559,Crested Tern adult free standing,-16.6069625554,145.973484304
11560,Crested Tern adult free standing,-16.6069627463,145.973494694
11561,Crested Tern adult free standing,-16.6069616729,145.973523119
11562,Crested Tern runner,-16.6069264413,145.973506717
11563,Crested Tern runner,-16.6069312597,145.97351545
11564,Crested Tern runner,-16.6069327863,145.973516712
11565,Crested Tern runner,-16.6069390121,145.973523317
11566,Crested Tern runner,-16.6069470507,145.973505282
11567,Crested Tern runner,-16.6069445699,145.973487174
11568,Crested Tern runner,-16.6069585004,145.973490489
11569,Onychoprion,-16.606943902,145.97351973
11570,Crested Tern adult free standing,-16.6069657518,145.973485417
11571,Crested Tern adult free standing,-16.6069647023,145.973491948
11572,Crested Tern adult free standing,-16.6069669206,145.973483488
11573,Crested Tern adult free standing,-16.6069554948,145.973528858
11574,Crested Tern adult free standing,-16.6069489113,145.973538927
11575,Crested Tern adult free standing,-16.6069352194,145.973533262
11576,Crested Tern adult free standing,-16.6069365313,145.973542959
11577,Crested Tern adult free standing,-16.6069432818,145.973553745
11578,Crested Tern runner,-16.6069621499,145.97354291
11579,Crested Tern runner,-16.6069545884,145.973537171
11580,Crested Tern runner,-16.6069421369,145.973532594
11581,Crested Tern runner,-16.6069287074,145.973551074
11582,Crested Tern runner,-16.6069293514,145.973557234
11583,Crested Tern runner,-16.6069234596,145.973528215
11584,Crested Tern adult free standing,-16.6069170669,145.973528438
11585,Crested Tern adult free standing,-16.6069237458,145.973542465
11586,Crested Tern adult free standing,-16.6069310211,145.973553622
11587,Crested Tern adult free standing,-16.6069211935,145.973563022
11588,Crested Tern adult free standing,-16.6068999639,145.973530145
11589,Crested Tern adult free standing,-16.6068941914,145.973551742
11590,Noddy species,-16.6069093145,145.973552162
11591,Noddy species,-16.6068916152,145.973535093
11592,Crested Tern runner,-16.606901085,145.973533781
11593,Crested Tern runner,-16.6068996061,145.973532347
11594,Crested Tern runner,-16.6068987235,145.973536725
11595,Crested Tern runner,-16.6068959804,145.973530392
11596,Crested Tern runner,-16.6068948831,145.97354098
11597,Crested Tern runner,-16.6068946923,145.973553993
11598,Crested Tern adult free standing,-16.6068833619,145.973551865
11599,Noddy species,-16.6068572662,145.973536428
11600,Noddy species,-16.606864613,145.973557654
