"LAYER","NAME","LAT","LON"
"Brown Booby (A)","A119",-16.60642279,145.97434
"Brown Booby (A)","A120",-16.60642169,145.9743406
"Brown Booby (A)","A121",-16.60641538,145.9743229
"Brown Booby (A)","A122",-16.60641756,145.9743781
"Brown Booby (A)","A123",-16.60648688,145.9742502
"Brown Booby (A)","A124",-16.60648683,145.9742518
"Brown Booby (A)","A125",-16.60648405,145.9742877
"Brown Booby (A)","A126",-16.60648948,145.974299
"Brown Booby (A)","A127",-16.60646425,145.9741758
"Brown Booby (A)","A128",-16.60641884,145.9742198
"Brown Booby (A)","A129",-16.60641303,145.9742288
"Brown Booby (A)","A130",-16.60661537,145.9741007
"Brown Booby (A)","A131",-16.60655023,145.9741338
"Brown Booby (A)","A132",-16.60655069,145.9741318
"Brown Booby (A)","A133",-16.60656424,145.9741456
"Brown Booby (A)","A134",-16.60643007,145.9744823
"Brown Booby (A)","A135",-16.60643277,145.9744848
"Brown Booby (A)","A136",-16.60642326,145.9745206
"Brown Booby (A)","A137",-16.60637953,145.9745094
"Brown Booby (A)","A138",-16.6062773,145.9744521
"Brown Booby (A)","A139",-16.60627759,145.9744543
"Brown Booby (A)","A140",-16.60636295,145.9744087
"Brown Booby (A)","A141",-16.60636441,145.9744087
"Brown Booby (A)","A142",-16.60629372,145.9745303
"Brown Booby (A)","A143",-16.60629318,145.9745322
"Brown Booby (A)","A144",-16.60628141,145.9745455
"Brown Booby (A)","A145",-16.60631395,145.9745183
"Brown Booby (A)","A146",-16.60631371,145.974519
"Brown Booby (A)","A147",-16.60632732,145.9744833
"Brown Booby (A)","A148",-16.60635936,145.9745193
"Brown Booby (A)","A149",-16.60635403,145.9745253
"Brown Booby (A)","A150",-16.60633461,145.9745402
"Brown Booby (A)","A151",-16.60627248,145.9745914
"Brown Booby (A)","A152",-16.6062692,145.9745962
"Brown Booby (A)","A153",-16.60627301,145.9745926
"Brown Booby (A)","A153",-16.60627149,145.9746039
"Brown Booby (A)","A154",-16.60624904,145.9746242
"Brown Booby (A)","A155",-16.60624949,145.9746225
"Brown Booby (A)","A157",-16.60631355,145.9745733
"Brown Booby (A)","A158",-16.60629653,145.9746021
"Brown Booby (A)","A159",-16.6062949,145.9746033
"Brown Booby (A)","A160",-16.60628662,145.9745967
"Brown Booby (A)","A161",-16.60631477,145.9746316
"Brown Booby (A)","A162",-16.60629581,145.9746867
"Brown Booby (A)","A163",-16.60629558,145.9746849
"Brown Booby (A)","A164",-16.60630391,145.9746698
"Brown Booby (A)","A165",-16.60624243,145.9747329
"Brown Booby (A)","A166",-16.60626329,145.9747337
"Brown Booby (A)","A167",-16.60631574,145.9746729
"Brown Booby (A)","A168",-16.60631807,145.9746582
"Brown Booby (A)","A169",-16.60631551,145.9746588
"Brown Booby (A)","A170",-16.60634457,145.9746181
"Brown Booby (A)","A171",-16.60636756,145.9745876
"Brown Booby (A)","A172",-16.6064144,145.974589
"Brown Booby (A)","A173",-16.60646384,145.9745072
"Brown Booby (A)","A174",-16.60638611,145.9746164
"Brown Booby (A)","A175",-16.60640475,145.9747372
"Brown Booby (A)","A176",-16.60640436,145.9747343
"Brown Booby (A)","A177",-16.6063591,145.9746656
"Brown Booby (A)","A178",-16.60634783,145.9746834
"Brown Booby (A)","A179",-16.60633399,145.9746942
"Brown Booby (A)","A180",-16.60633493,145.9746959
