OID_,LAYER,NAME,LAT,LONG
97,Noddy Sp. (B),B97,-16.606084109200001,145.974654388999994
98,Noddy Sp. (B),B98,-16.606086309900000,145.974653880999995
99,Noddy Sp. (B),B99,-16.606081854199999,145.974656895999999
100,Noddy Sp. (B),B100,-16.606085440499999,145.974657685000011
101,Noddy Sp. (B),B101,-16.606083756000000,145.974659290999995
102,Noddy Sp. (B),B102,-16.606083565799999,145.974661714999996
103,Noddy Sp. (B),B103,-16.606081935700001,145.974665519000013
104,Crested Tern FS (FFS),FFS1,-16.606079028600000,145.974658670999986
105,Crested Tern FS (FFS),FFS2,-16.606078295100001,145.974665179999988
106,Noddy Sp. (B),B104,-16.606075145599998,145.974666031999988
107,Noddy Sp. (B),B105,-16.606081839000002,145.974668463999990
108,Noddy Sp. (B),B106,-16.606079295200001,145.974669683000002
109,Noddy Sp. (B),B107,-16.606080364000000,145.974670946999993
110,Noddy Sp. (B),B108,-16.606082288000000,145.974671013999995
111,Noddy Sp. (B),B109,-16.606081048099998,145.974673208000013
112,Noddy Sp. (B),B110,-16.606079573100001,145.974674827000001
113,Noddy Sp. (B),B111,-16.606076302400002,145.974674693999987
114,Noddy Sp. (B),B112,-16.606078760700001,145.974677708999991
115,Noddy Sp. (B),B113,-16.606080556399998,145.974677708999991
116,Noddy Sp. (B),B114,-16.606077756000001,145.974681167999989
117,Noddy Sp. (B),B115,-16.606075468699999,145.974687442000004
118,Noddy Sp. (B),B116,-16.606077905700001,145.974683983000006
119,Noddy Sp. (B),B117,-16.606079273799999,145.974684359999998
120,Noddy Sp. (B),B118,-16.606078140800001,145.974686665999997
121,Noddy Sp. (B),B119,-16.606077136100001,145.974688815999997
122,Noddy Sp. (B),B120,-16.606075019799999,145.974691054999994
123,Noddy Sp. (B),B121,-16.606074827400001,145.974692895999993
124,Noddy Sp. (B),B122,-16.606078012600001,145.974690124000006
125,Noddy Sp. (B),B123,-16.606079166899999,145.974691963999987
126,Noddy Sp. (B),B124,-16.606081326000002,145.974688815999997
127,Noddy Sp. (B),B125,-16.606077414000001,145.974694602999989
128,Noddy Sp. (B),B126,-16.606079829599999,145.974695733000004
129,Noddy Sp. (B),B127,-16.606075981699998,145.974696421000004
130,Noddy Sp. (B),B128,-16.606073737100001,145.974698437999990
131,Noddy Sp. (B),B129,-16.606079615799999,145.974701653000011
132,Noddy Sp. (B),B130,-16.606076281000000,145.974700654999992
133,Noddy Sp. (B),B131,-16.606077756000001,145.974704201999998
134,Noddy Sp. (B),B132,-16.606075661100000,145.974705910000011
135,Noddy Sp. (B),B133,-16.606073309599999,145.974700278000000
136,Noddy Sp. (B),B134,-16.606071962900000,145.974703248999987
137,Noddy Sp. (B),B135,-16.606070466500000,145.974705333000003
138,Noddy Sp. (B),B136,-16.606072540000000,145.974707373000001
139,Noddy Sp. (B),B137,-16.606073886800001,145.974703669999997
140,Noddy Sp. (B),B138,-16.606084809799999,145.974691615000012
141,Noddy Sp. (B),B139,-16.606075501999999,145.974709028000007
142,Noddy Sp. (B),B140,-16.606074535200001,145.974711391000000
143,Noddy Sp. (B),B141,-16.606076606999999,145.974708526000001
144,Noddy Sp. (B),B142,-16.606077608400000,145.974710746999989
145,Noddy Sp. (B),B143,-16.606075018599999,145.974715723999992
146,Noddy Sp. (B),B144,-16.606073775500001,145.974714005000010
147,Noddy Sp. (B),B145,-16.606070771399999,145.974715080000010
148,Noddy Sp. (B),B146,-16.606068699600002,145.974719698999991
149,Noddy Sp. (B),B147,-16.606071496599998,145.974721562000013
150,Noddy Sp. (B),B148,-16.606072118099998,145.974717836999986
151,Noddy Sp. (B),B149,-16.606073948199999,145.974719270000008
152,Noddy Sp. (B),B150,-16.606076158099999,145.974718625000008
153,Noddy Sp. (B),B151,-16.606073602900000,145.974721740999996
154,Noddy Sp. (B),B152,-16.606074742400001,145.974724355000006
155,Noddy Sp. (B),B153,-16.606076192600000,145.974724928000001
156,Noddy Sp. (B),B154,-16.606072566999998,145.974726575000005
157,Noddy Sp. (B),B155,-16.606071600200000,145.974724212000012
158,Noddy Sp. (B),B156,-16.606070288000002,145.974725608000000
159,Noddy Sp. (B),B157,-16.606067594700001,145.974726253000000
160,Noddy Sp. (B),B158,-16.606070322499999,145.974727720999994
161,Noddy Sp. (B),B159,-16.606071427500002,145.974731230999993
162,Noddy Sp. (B),B160,-16.606067974500000,145.974731230999993
163,Noddy Sp. (B),B161,-16.606072981400001,145.974730012999999
164,Noddy Sp. (B),B162,-16.606073948199999,145.974730048999987
165,Noddy Sp. (B),B163,-16.606076296200001,145.974731015999993
166,Noddy Sp. (B),B164,-16.606074259000000,145.974733415000003
167,Noddy Sp. (B),B165,-16.606070909500001,145.974733057000009
168,Noddy Sp. (B),B166,-16.606065902699999,145.974732877999998
169,Noddy Sp. (B),B167,-16.606066006300001,145.974735134000014
170,Noddy Sp. (B),B168,-16.606072532500001,145.974734417999997
171,Noddy Sp. (B),B169,-16.606070529699998,145.974738357000007
172,Noddy Sp. (B),B170,-16.606068906800001,145.974737532999995
173,Noddy Sp. (B),B171,-16.606068181700000,145.974740040000000
174,Noddy Sp. (B),B172,-16.606066455200001,145.974742619000011
175,Noddy Sp. (B),B173,-16.606065868200002,145.974744302000005
176,Noddy Sp. (B),B174,-16.606069839100002,145.974743012999994
177,Noddy Sp. (B),B175,-16.606068561499999,145.974744839000010
178,Noddy Sp. (B),B176,-16.606070184400000,145.974744587999993
179,Crested Tern FS (FFS),FFS3,-16.606066869500001,145.974728902999999
180,Crested Tern FS (FFS),FFS4,-16.606071600200000,145.974736207999996
181,Crested Tern FS (FFS),FFS5,-16.606073948199999,145.974738894000012
182,Crested Tern FS (FFS),FFS6,-16.606061897200000,145.974741400999989
183,Crested Tern FS (FFS),FFS7,-16.606066696900001,145.974738035000001
184,Crested Tern FS (FFS),FFS8,-16.606068492399999,145.974755081000012
185,Crested Tern FS (FFS),FFS9,-16.606063589200001,145.974755832999989
186,Crested Tern FS (FFS),FFS10,-16.606059514599998,145.974773023000012
187,Crested Tern FS (FFS),FFS11,-16.606057684500001,145.974778251000004
188,Crested Tern FS (FFS),FFS12,-16.606066109899999,145.974793148999993
189,Crested Tern FS (FFS),FFS13,-16.606055232900001,145.974805683000000
190,Crested Tern FS (FFS),FFS14,-16.606052505000001,145.974812200000002
191,Crested Tern FS (FFS),FFS15,-16.606054784000001,145.974814957999996
192,Crested Tern FS (FFS),FFS16,-16.606053920800001,145.974816534000013
193,Crested Tern FS (FFS),FFS17,-16.606053161100000,145.974820867000005
194,Crested Tern FS (FFS),FFS18,-16.606051123800000,145.974823839000010
195,Crested Tern FS (FFS),FFS19,-16.606058858600001,145.974822872000004
196,Crested Tern FS (FFS),FFS20,-16.606064556000000,145.974828566000014
197,Crested Tern FS (FFS),FFS21,-16.606049638999998,145.974837769999993
198,Crested Tern FS (FFS),FFS22,-16.606050951200000,145.974842461000009
199,Crested Tern FS (FFS),FFS23,-16.606049673600001,145.974848906999995
200,Crested Tern FS (FFS),FFS24,-16.606050122500001,145.974853706000005
201,Crested Tern FS (FFS),FFS25,-16.606050467799999,145.974856283999998
202,Crested Tern FS (FFS),FFS26,-16.606050087900002,145.974864843000006
